# ═══════════════════════════════════════════════════════════════════════════
# Ontologia Italiana Core — Knowledge Graph di Prometeo
# ═══════════════════════════════════════════════════════════════════════════
# Formato: soggetto TAB RELAZIONE TAB oggetto [TAB confidenza]
# Relazioni: IS_A, HAS, DOES, PART_OF, CAUSES, OPPOSITE_OF, SIMILAR_TO, USED_FOR
# Fonte: curata a mano (non co-occorrenze statistiche)
# ═══════════════════════════════════════════════════════════════════════════

# ─── FONDAMENTI ONTOLOGICI ──────────────────────────────────────────────────
cosa	IS_A	entità
entità	HAS	esistenza
processo	IS_A	evento
evento	IS_A	accadimento
stato	IS_A	condizione
relazione	IS_A	connessione
qualità	IS_A	attributo
quantità	IS_A	misura
spazio	IS_A	dimensione
tempo	IS_A	dimensione
materia	IS_A	sostanza
energia	IS_A	forza

# ─── ESSERI VIVENTI ─────────────────────────────────────────────────────────
essere_vivente	HAS	vita
essere_vivente	HAS	corpo
essere_vivente	DOES	respirare
essere_vivente	DOES	nutrirsi
essere_vivente	DOES	crescere
essere_vivente	DOES	morire
essere_vivente	DOES	sentire
essere_vivente	CAUSES	esperienza

# ─── REGNO ANIMALE ──────────────────────────────────────────────────────────
animale	IS_A	essere_vivente
animale	DOES	mangiare
animale	DOES	dormire
animale	DOES	muoversi
animale	HAS	corpo
animale	HAS	sensi
mammifero	IS_A	animale
mammifero	HAS	sangue_caldo
mammifero	HAS	pelo
mammifero	DOES	allattare
uccello	IS_A	animale
uccello	HAS	ali
uccello	HAS	piume
uccello	DOES	volare
uccello	DOES	cantare
pesce	IS_A	animale
pesce	HAS	pinne
pesce	HAS	squame
pesce	DOES	nuotare
rettile	IS_A	animale
rettile	HAS	squame
insetto	IS_A	animale
insetto	HAS	sei_zampe

# ─── ANIMALI COMUNI ─────────────────────────────────────────────────────────
cane	IS_A	mammifero
cane	DOES	abbaiare
cane	DOES	correre
cane	HAS	pelo
cane	HAS	zampe
cane	HAS	coda
gatto	IS_A	mammifero
gatto	DOES	miagolare
gatto	DOES	graffiare
gatto	HAS	pelo
gatto	HAS	artigli
cavallo	IS_A	mammifero
cavallo	DOES	nitrire
cavallo	DOES	correre
leone	IS_A	mammifero
leone	IS_A	carnivoro
leone	DOES	ruggire
lupo	IS_A	mammifero
lupo	IS_A	carnivoro
aquila	IS_A	uccello
aquila	IS_A	rapace
aquila	DOES	volare
aquila	DOES	cacciare
serpente	IS_A	rettile
serpente	DOES	strisciare

# ─── ESSERI UMANI ──────────────────────────────────────────────────────────
essere_umano	IS_A	mammifero
essere_umano	IS_A	persona
essere_umano	HAS	mente
essere_umano	HAS	linguaggio
essere_umano	DOES	pensare
essere_umano	DOES	parlare
essere_umano	DOES	imparare
essere_umano	DOES	creare
persona	IS_A	essere_umano
persona	HAS	identità
persona	HAS	emozione
persona	HAS	coscienza
bambino	IS_A	persona
adulto	IS_A	persona
anziano	IS_A	persona
uomo	IS_A	persona
donna	IS_A	persona
madre	IS_A	donna
padre	IS_A	uomo
figlio	IS_A	persona
amico	IS_A	persona
nemico	IS_A	persona

# ─── RUOLI SOCIALI ──────────────────────────────────────────────────────────
medico	IS_A	persona
medico	DOES	curare
medico	USED_FOR	salute
insegnante	IS_A	persona
insegnante	DOES	insegnare
insegnante	DOES	spiegare
scienziato	IS_A	persona
scienziato	DOES	ricercare
scienziato	DOES	scoprire
artista	IS_A	persona
artista	DOES	creare
musicista	IS_A	artista
musicista	DOES	suonare
pittore	IS_A	artista
pittore	DOES	dipingere
scrittore	IS_A	artista
scrittore	DOES	scrivere
poeta	IS_A	scrittore
poeta	DOES	poetare
re	IS_A	persona
re	HAS	potere
re	HAS	trono

# ─── CORPO UMANO ───────────────────────────────────────────────────────────
corpo	IS_A	struttura
corpo	HAS	testa
corpo	HAS	braccia
corpo	HAS	gambe
corpo	HAS	cuore
corpo	HAS	cervello
testa	PART_OF	corpo
mano	PART_OF	corpo
mano	USED_FOR	toccare
mano	USED_FOR	prendere
occhio	PART_OF	corpo
occhio	USED_FOR	vedere
occhio	DOES	vedere
bocca	PART_OF	corpo
bocca	USED_FOR	parlare
bocca	USED_FOR	mangiare
orecchio	PART_OF	corpo
orecchio	USED_FOR	ascoltare
cuore	PART_OF	corpo
cuore	DOES	battere
cuore	CAUSES	vita
cervello	PART_OF	corpo
cervello	DOES	pensare
cervello	CAUSES	pensiero
sangue	PART_OF	corpo
